INFO 2024-03-05 20:02:10,290 basehttp 17892 21368 "GET /static/xadmin/js/xadmin.plugin.themes.js HTTP/1.1" 200 3489
INFO 2024-03-05 20:02:10,291 basehttp 17892 14676 "GET /static/xadmin/css/themes/bootstrap-xadmin.css HTTP/1.1" 304 0
INFO 2024-03-05 20:02:10,307 basehttp 17892 14676 "GET /static/xadmin/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2024-03-05 20:02:10,309 basehttp 17892 18308 "GET /static/xadmin/vendor/font-awesome/css/font-awesome.css HTTP/1.1" 304 0
INFO 2024-03-05 20:02:10,316 basehttp 17892 18308 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.widget.js HTTP/1.1" 304 0
INFO 2024-03-05 20:02:10,318 basehttp 17892 14676 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.core.js HTTP/1.1" 304 0
INFO 2024-03-05 20:02:10,326 basehttp 17892 21368 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7722
INFO 2024-03-05 20:02:10,328 basehttp 17892 18308 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.mouse.js HTTP/1.1" 304 0
INFO 2024-03-05 20:02:10,328 basehttp 17892 14676 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.sortable.js HTTP/1.1" 304 0
INFO 2024-03-05 20:02:10,334 basehttp 17892 18308 "GET /static/xadmin/vendor/bootstrap/js/bootstrap.js HTTP/1.1" 304 0
INFO 2024-03-05 20:02:10,335 basehttp 17892 14676 "GET /static/xadmin/js/xadmin.main.js HTTP/1.1" 304 0
INFO 2024-03-05 20:02:10,344 basehttp 17892 21368 "GET /static/xadmin/js/xadmin.responsive.js HTTP/1.1" 304 0
INFO 2024-03-05 20:02:10,345 basehttp 17892 18308 "GET /static/xadmin/js/xadmin.page.dashboard.js HTTP/1.1" 304 0
INFO 2024-03-05 20:02:10,346 basehttp 17892 14676 "GET /static/xadmin/js/xadmin.plugin.portal.js HTTP/1.1" 304 0
INFO 2024-03-05 20:02:10,361 basehttp 17892 4472 "GET /static/xadmin/css/xadmin.plugins.css HTTP/1.1" 304 0
INFO 2024-03-05 20:02:10,365 basehttp 17892 19616 "GET /static/xadmin/css/xadmin.responsive.css HTTP/1.1" 304 0
INFO 2024-03-05 20:02:10,365 basehttp 17892 2760 "GET /static/xadmin/css/xadmin.main.css HTTP/1.1" 304 0
INFO 2024-03-05 20:02:10,421 basehttp 17892 2760 "GET /static/xadmin/vendor/font-awesome/fonts/fontawesome-webfont.woff?v=4.0.3 HTTP/1.1" 304 0
INFO 2024-03-05 20:02:14,370 basehttp 17892 2760 "GET /xadmin/home/banner/ HTTP/1.1" 200 24049
INFO 2024-03-05 20:02:14,411 basehttp 17892 2760 "GET /static/xadmin/css/xadmin.form.css HTTP/1.1" 304 0
INFO 2024-03-05 20:02:14,425 basehttp 17892 21368 "GET /static/xadmin/js/xadmin.page.form.js HTTP/1.1" 304 0
INFO 2024-03-05 20:02:14,427 basehttp 17892 18308 "GET /static/xadmin/js/xadmin.page.list.js HTTP/1.1" 304 0
INFO 2024-03-05 20:02:14,428 basehttp 17892 2760 "GET /static/xadmin/js/xadmin.plugin.bookmark.js HTTP/1.1" 304 0
